date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2011-01-20,105.18,110.528,0.0,0.0,-0.007027,-0.0002,1.158788,1.46644
2011-01-21,102.93,110.528,0.0,0.0,-0.007514,-0.0,1.158788,1.455422
2011-01-24,101.76,110.528,0.0,0.0,-0.000736,-0.0,1.158788,1.454351
2011-01-25,104.61,110.528,0.0,0.0,0.004873,0.0,1.158788,1.461437
2011-01-26,106.55,110.528,0.0,0.0,0.00714,0.0,1.158788,1.471872
2011-01-27,104.83,110.528,0.0,0.0,0.005161,0.0,1.158788,1.479469
2011-01-28,108.59,110.528,0.0,0.0,0.004726,0.0,1.158788,1.486461
2011-02-08,109.21,110.528,0.0,0.0,-0.003706,-0.0,1.158788,1.480953
2011-02-09,108.28,110.528,0.0,0.0,-0.011484,-0.0,1.158788,1.463945
2011-02-10,98.57,110.528,0.0,0.0,-0.018903,-0.0,1.158788,1.436272
2011-02-11,79.39,110.528,0.0,0.0,-0.025655,-0.0,1.158788,1.399424
2011-02-14,78.41,110.528,0.0,0.0,0.008782,0.0,1.158788,1.411714
2011-02-15,80.67,110.528,0.0,0.0,0.004198,0.0,1.158788,1.41764
2011-02-16,85.54,110.528,0.0,0.0,-0.001028,-0.0,1.158788,1.416182
2011-02-17,97.04,110.528,0.0,0.0,-0.003338,-0.0,1.158788,1.411455
2011-02-18,101.32,110.528,0.0,0.0,0.01842,0.0,1.158788,1.437455
2011-02-21,102.94,110.528,0.0,0.0,-0.000522,-0.0,1.158788,1.436704
2011-02-22,94.95,110.528,0.0,0.0,-0.018729,-0.0,1.158788,1.409796
2011-02-23,88.63,110.528,0.0,0.0,-0.016686,-0.0,1.158788,1.386272
2011-02-24,85.42,110.528,0.0,0.0,0.001489,0.0,1.158788,1.388336
2011-02-25,81.17,110.528,0.0,0.0,0.006791,0.0,1.158788,1.397765
2011-03-01,87.44,110.528,0.0,0.0,0.014874,0.0,1.158788,1.418555
